"filename", "language", "C++", "comment", "blank", "total"
"c:\Code\AnymaEngine\src\Agent.cpp", "C++", 5, 0, 3, 8
"c:\Code\AnymaEngine\src\Agent.h", "C++", 9, 0, 4, 13
"c:\Code\AnymaEngine\src\AnymUtil.h", "C++", 46, 5, 12, 63
"c:\Code\AnymaEngine\src\Array.h", "C++", 117, 4, 20, 141
"c:\Code\AnymaEngine\src\Camera.cpp", "C++", 22, 0, 6, 28
"c:\Code\AnymaEngine\src\Camera.h", "C++", 19, 0, 6, 25
"c:\Code\AnymaEngine\src\ImGuiConfig.h", "C++", 8, 0, 3, 11
"c:\Code\AnymaEngine\src\InputHandler.cpp", "C++", 0, 0, 1, 1
"c:\Code\AnymaEngine\src\InputHandler.h", "C++", 14, 0, 2, 16
"c:\Code\AnymaEngine\src\Main.cpp", "C++", 174, 24, 51, 249
"c:\Code\AnymaEngine\src\Memory.cpp", "C++", 36, 3, 6, 45
"c:\Code\AnymaEngine\src\Memory.h", "C++", 38, 1, 13, 52
"c:\Code\AnymaEngine\src\Render2D.cpp", "C++", 84, 4, 20, 108
"c:\Code\AnymaEngine\src\Render2D.h", "C++", 38, 0, 13, 51
"c:\Code\AnymaEngine\src\TimVectorMath.cpp", "C++", 279, 149, 52, 480
"c:\Code\AnymaEngine\src\TimVectorMath.h", "C++", 413, 16, 80, 509
"c:\Code\AnymaEngine\src\World.cpp", "C++", 1, 0, 0, 1
"c:\Code\AnymaEngine\src\World.h", "C++", 7, 0, 4, 11
"Total", "-", 1310, 206, 296, 1812